subject activityNum tBodyAcc-mean()-X tBodyAcc-mean()-Y tBodyAcc-mean()-Z tBodyAcc-std()-X tBodyAcc-std()-Y tBodyAcc-std()-Z tGravityAcc-mean()-X tGravityAcc-mean()-Y tGravityAcc-mean()-Z tGravityAcc-std()-X tGravityAcc-std()-Y tGravityAcc-std()-Z tBodyAccJerk-mean()-X tBodyAccJerk-mean()-Y tBodyAccJerk-mean()-Z tBodyAccJerk-std()-X tBodyAccJerk-std()-Y tBodyAccJerk-std()-Z tBodyGyro-mean()-X tBodyGyro-mean()-Y tBodyGyro-mean()-Z tBodyGyro-std()-X tBodyGyro-std()-Y tBodyGyro-std()-Z tBodyGyroJerk-mean()-X tBodyGyroJerk-mean()-Y tBodyGyroJerk-mean()-Z tBodyGyroJerk-std()-X tBodyGyroJerk-std()-Y tBodyGyroJerk-std()-Z tBodyAccMag-mean() tBodyAccMag-std() tGravityAccMag-mean() tGravityAccMag-std() tBodyAccJerkMag-mean() tBodyAccJerkMag-std() tBodyGyroMag-mean() tBodyGyroMag-std() tBodyGyroJerkMag-mean() tBodyGyroJerkMag-std() fBodyAcc-mean()-X fBodyAcc-mean()-Y fBodyAcc-mean()-Z fBodyAcc-std()-X fBodyAcc-std()-Y fBodyAcc-std()-Z fBodyAccJerk-mean()-X fBodyAccJerk-mean()-Y fBodyAccJerk-mean()-Z fBodyAccJerk-std()-X fBodyAccJerk-std()-Y fBodyAccJerk-std()-Z fBodyGyro-mean()-X fBodyGyro-mean()-Y fBodyGyro-mean()-Z fBodyGyro-std()-X fBodyGyro-std()-Y fBodyGyro-std()-Z fBodyAccMag-mean() fBodyAccMag-std() fBodyBodyAccJerkMag-mean() fBodyBodyAccJerkMag-std() fBodyBodyGyroMag-mean() fBodyBodyGyroMag-std() fBodyBodyGyroJerkMag-mean() fBodyBodyGyroJerkMag-std()
1 1 0.247200193642105 -0.0233182518463158 -0.0930450283894737 -0.826329486 -0.697545387063158 -0.77600016552 0.550575239547368 0.111004015705263 0.297227207541053 -0.943757340421053 -0.923422339873684 -0.931266859368421 0.0729633285789474 0.00998333720673684 -0.0209055474101895 -0.823703602833684 -0.776332197438947 -0.889909072947368 -0.0260585704284211 -0.0813959911936842 0.0981720203031579 -0.844831509378947 -0.79247789888421 -0.825883936736842 -0.0944218690842105 -0.0492472368894737 -0.0550479146736842 -0.827959209052632 -0.867853557789474 -0.869067505473684 -0.75820162751579 -0.755206764021053 -0.75820162751579 -0.755206764021053 -0.824003557242105 -0.811784151347368 -0.772722088768421 -0.764149351073684 -0.862438619578947 -0.859038921578947 -0.824411287052632 -0.728297660867368 -0.814111385473684 -0.827641894947368 -0.702221132089684 -0.773857080452632 -0.835778056947368 -0.793544573242105 -0.878227060421053 -0.827031971378947 -0.773051928766316 -0.900210314105263 -0.811806736108421 -0.812857160673684 -0.815175428736842 -0.855946284210526 -0.782893798672632 -0.846114284315789 -0.772121071326316 -0.788221072378947 -0.808080967168421 -0.817523730810526 -0.794893736796842 -0.78630673231579 -0.861863976736842 -0.865712438421053
1 2 0.274762571698113 -0.0231429725471698 -0.111259027475472 -0.391618968166038 -0.0883763461132075 -0.247785713339623 0.936334753396227 -0.195830494648302 -0.0368500438324528 -0.951890246415094 -0.935026190566038 -0.86577235490566 0.101367588622642 -0.00529522311698113 -0.0314440296207547 -0.345756566754717 -0.239368144037736 -0.535208372283019 0.0414182410132075 -0.104905471339623 0.0613042825792453 -0.505557347362264 -0.2647901745 -0.370526413718868 -0.0895383509056604 -0.0535419790566038 -0.0765797255962264 -0.489871864311321 -0.499263131830943 -0.571863938396226 -0.227512832126415 -0.363798101339623 -0.227512832126415 -0.363798101339623 -0.325902907188679 -0.346357203626415 -0.219333123779245 -0.325580673650943 -0.500618653773585 -0.544200561377359 -0.354672700526415 -0.103414080754717 -0.323427419301887 -0.408059084364151 -0.139628293811321 -0.273777827366038 -0.35203170269434 -0.273362014720755 -0.482277115037736 -0.400066943764151 -0.254731798962264 -0.588262279660377 -0.397037579320755 -0.274843864281132 -0.352427516477358 -0.541529878264151 -0.268082158641509 -0.436913519328302 -0.285650956339623 -0.515828216724528 -0.287856305356604 -0.435714707528302 -0.352041459735849 -0.428327102632075 -0.519560193098113 -0.612724567264151
1 3 0.275769795510204 -0.0147371480653061 -0.109768573938776 -0.987667236938775 -0.956033830816327 -0.968392287755102 0.862671661632653 -0.0296297217346939 -0.226153987346939 -0.980479586326531 -0.967677653265306 -0.965053913469388 0.073755022 0.00453937348367347 -0.00346028646326531 -0.992050772040816 -0.985167321632653 -0.987942516326531 -0.0358518033408163 -0.0790829039387755 0.100548489346939 -0.984515652244898 -0.983050637755102 -0.980109708571429 -0.0977680830408163 -0.0383753882453061 -0.0539329500040816 -0.992558263265306 -0.992301984897959 -0.993703976938776 -0.971115237755102 -0.96414296755102 -0.971115237755102 -0.96414296755102 -0.990246979591837 -0.987899396122449 -0.967987483673469 -0.972385216326531 -0.994446150204082 -0.991656001020408 -0.988830616530612 -0.966580594489796 -0.976111601632653 -0.987301334897959 -0.953274968979592 -0.966214415714286 -0.991982391632653 -0.984844155306122 -0.986190980408163 -0.992879557959184 -0.986726055102041 -0.988254984489796 -0.983164351836735 -0.985116608571428 -0.982511771632653 -0.985034555918367 -0.98210604244898 -0.981149481836735 -0.973813392040816 -0.964465765306122 -0.987783164897959 -0.986930256530612 -0.980200807755102 -0.972274044897959 -0.992357771020408 -0.991066593673469
1 4 0.263276365404255 -0.0243484207829787 -0.104083267776809 -0.488716660704894 -0.408436322680851 -0.533758101540425 0.916013024042553 -0.197675325412766 -0.12852268984383 -0.965807464893617 -0.966027185319149 -0.937701861914894 0.0890144645744681 0.0210599614589362 -0.0184015864725532 -0.508676637412766 -0.531368011531915 -0.724861815744681 0.0388333920955319 -0.116371649804255 0.0396746820042553 -0.683098503617021 -0.714835671489362 -0.577515860234043 -0.10708416940234 -0.0510132095382979 -0.0629287505978723 -0.698994444680851 -0.829911517659574 -0.750234615744681 -0.417346528723404 -0.564884569595745 -0.417346528723404 -0.564884569595745 -0.551127523797872 -0.534391541489362 -0.565757921408511 -0.605243286029787 -0.774337904680851 -0.820444296382979 -0.542667488578723 -0.455397825731915 -0.59289048887234 -0.469715405585106 -0.422139305508511 -0.538997914489362 -0.518890272165958 -0.538730407702128 -0.696018378510638 -0.542903844564894 -0.557240997821277 -0.752719192340426 -0.616892264468085 -0.732832558510638 -0.590165132 -0.704884300425532 -0.706940766595745 -0.612704096744681 -0.522425741529787 -0.65916449212766 -0.515029200082979 -0.563248534489362 -0.672650495744681 -0.629347810617021 -0.819271872765957 -0.834725188510638
1 5 0.27569132754717 -0.0196068514681132 -0.110250377075472 -0.958258649245283 -0.899571751320755 -0.900046348113207 0.92993721754717 -0.206058522396226 0.0191527784716981 -0.991687410188679 -0.972520633207547 -0.950686651320755 0.0730913035849057 0.00798035607132076 0.00614230542811321 -0.952344018113208 -0.934384834150943 -0.96430270490566 -0.0410209603277358 -0.0645778277169811 0.100339108962264 -0.912967752264151 -0.935830619433962 -0.921859189433962 -0.0960827655471698 -0.0397815808188679 -0.0557396705471698 -0.940775488867925 -0.971011296792453 -0.956847550188679 -0.923188671320755 -0.913244458679245 -0.923188671320755 -0.913244458679245 -0.952290658113208 -0.941000705660377 -0.900949881698113 -0.896101880377358 -0.962727109056604 -0.959631438679245 -0.957781721886792 -0.909330812641509 -0.928409237735849 -0.958889595660377 -0.900506379433962 -0.893200115660377 -0.954389756603774 -0.934839992830189 -0.959418186981132 -0.954494617169811 -0.938674015849057 -0.967844049622641 -0.907300421509434 -0.94592801509434 -0.927497613396226 -0.916038770377358 -0.930869299622642 -0.927520731886792 -0.923876546981132 -0.920537728490566 -0.942090021886792 -0.938925610188679 -0.923079918113208 -0.897936335849057 -0.962640781132076 -0.958553648867925
1 6 0.2704872636 -0.02044794336 -0.105636086404 0.00565543976 0.107417293448 -0.240890147645 0.942385977 -0.2232680546 0.02048301930154 -0.954745269 -0.9481748178 -0.9117958834 0.07460480866 0.02070283684 -0.01683357816 -0.014992907468 -0.0222929774998 -0.46273963394 0.0023694942968 -0.1192200556 0.082100413776 -0.309912771914 -0.156830119128 -0.049000924972 -0.14008977204 -0.035962903857 -0.078668334518 -0.3718617374 -0.505424366 -0.2890897601 0.0666995448508 -0.07286727560152 0.0666995448508 -0.07286727560152 -0.09127908935218 -0.044972223456 -0.003689165948 -0.2012729240304 -0.4208124294 -0.517006789 -0.00589019898 0.088798753072 -0.292243548284 0.00816988224 0.0452724386776 -0.280177867338 -0.04522344807 -0.054491215686 -0.400286680526 -0.0732236727908 -0.054751701382 -0.5255952728 -0.1920386697182 -0.24869719872 0.01009944071 -0.35082166482 -0.11997987058 -0.157365239404 -0.00143757178 -0.26144403064 0.00290915462 -0.1199627983394 -0.26283217002 -0.3009993734 -0.5110524606 -0.5616848154
2 1 0.283645870508475 -0.0181751901318644 -0.108914349016949 -0.208821228983051 0.0518979173220339 -0.427571739067458 0.649970421694915 0.0188798337288136 0.0410073841776271 -0.969903307118644 -0.961430320677966 -0.948061412881356 0.0788656078983051 -0.00347337652542373 -0.0154918911254237 -0.209643237244068 -0.0401233839610169 -0.405215917881356 -0.0774934559288136 -0.0451329404288136 0.0844078998288136 -0.423694357033898 -0.317001727901695 -0.337086635183051 -0.0582745281440678 -0.0490098847135593 -0.0374095349881356 -0.0856126179644068 -0.30938190961017 -0.0698265796152542 -0.136618876559322 -0.169621057457627 -0.136618876559322 -0.169621057457627 -0.192270285966102 -0.116380396542373 -0.25475177305661 -0.267557713388136 -0.231269793542373 -0.241015689790847 -0.178841314813559 0.0467799265762712 -0.377541156813559 -0.223794787118644 -0.0129252212711864 -0.509009828033898 -0.235188894228814 -0.12549148319661 -0.359807355559322 -0.25429188052217 -0.0121997120033898 -0.448838362644068 -0.157496533774576 -0.292107715915254 -0.144318486725424 -0.513792052644068 -0.338585741118644 -0.47584626361017 -0.117443655610169 -0.33167666420339 -0.0977694811813559 -0.146912839525424 -0.201267008915254 -0.456478863294915 -0.248472251838983 -0.285401935056441
2 2 0.279345135833333 -0.0112617794020833 -0.110252822270833 -0.0818395952083333 0.114083619854167 -0.529331233541667 0.837188582020833 -0.0880028120833333 0.002787557625 -0.960938048333333 -0.956546793125 -0.9582252625 0.07797167004375 -0.01486615321875 -0.0083988799879375 -0.174454050083333 -0.0359585736645833 -0.602705173270833 -0.117286723785 -0.038204887875 0.07768479526875 -0.364189183458333 -0.319053501041667 -0.53020101375 -0.0554402883958333 -0.05252122599375 -0.03829642675 -0.383170900208333 -0.607861197291667 -0.5914593375 -0.0490714377291667 -0.0784475277083333 -0.0490714377291667 -0.0784475277083333 -0.224639960134792 -0.13148032725 -0.20632019135625 -0.37492154925 -0.532646608125 -0.599797137083333 -0.124920859375 0.10680524390625 -0.514501280645833 -0.0674603239583333 0.0466054880458333 -0.578795317708333 -0.210077035708333 -0.0690447459895833 -0.557143051104167 -0.211619152791667 -0.0662318663179167 -0.647789042708333 -0.2749797939375 -0.435315691041667 -0.476080737375 -0.395332457916667 -0.263729106916667 -0.593582595833333 -0.058546673153125 -0.234548286979167 -0.120442607041667 -0.15355952435 -0.4375132175 -0.440510895208333 -0.607809960833333 -0.617823251041667
2 3 0.277543661276596 -0.017289738932766 -0.106166776808511 -0.956167047021277 -0.94858782106383 -0.948728645531915 -0.0283590253191489 0.521363063191489 0.677029725170213 -0.951421372978723 -0.983864560212766 -0.959772045744681 0.0782372440148936 0.0159857206159574 -0.00910402649574468 -0.982779151702128 -0.964468310212766 -0.981275230638298 -0.0297672422702128 -0.10763228212766 0.0906556833617021 -0.96923202787234 -0.947756680851064 -0.976179811914894 -0.100190272212766 -0.0341229324510638 -0.0595155058297872 -0.979948619574468 -0.97913752787234 -0.986529236170213 -0.95092179 -0.945183735744681 -0.95092179 -0.945183735744681 -0.97868365 -0.974876771702128 -0.94727516 -0.940819410851064 -0.982607525106383 -0.979410462765957 -0.967475736170213 -0.950677956170213 -0.96195969106383 -0.952945150851064 -0.94998938106383 -0.945168765106383 -0.981963394255319 -0.965171083617021 -0.978779444042553 -0.985430794893617 -0.966298937659574 -0.98232799787234 -0.96721519106383 -0.959659386808511 -0.976328328085106 -0.970154770212766 -0.942631544255319 -0.978396431489362 -0.953739427659574 -0.948646767446809 -0.974698394255319 -0.974167191489362 -0.955863515531915 -0.941563260851064 -0.980011378085106 -0.979826326170213
2 4 0.279314401304348 -0.0149835973633674 -0.108909732978261 -0.591178622608696 -0.504328860652174 -0.566131079565217 0.39568295326087 0.138940385217391 0.306037612469565 -0.984013575434783 -0.983000424347826 -0.968833795217391 0.0727520724130435 -0.00120406536304348 -0.0152950841652174 -0.581195173913044 -0.44432905148587 -0.618222176956522 -0.0595430646430435 -0.0638585810152174 0.102450453204348 -0.740647903695652 -0.778660582608696 -0.538428055869565 -0.0868097358680435 -0.0406750379021739 -0.0644654300521739 -0.71968309826087 -0.832856146956522 -0.641490898913043 -0.527442237173913 -0.634863065869565 -0.527442237173913 -0.634863065869565 -0.527117886739131 -0.531743889782609 -0.639105834565217 -0.715421684130435 -0.76439031 -0.801271970652174 -0.571004722391304 -0.47260916976087 -0.5735202 -0.59964546673913 -0.553468400869565 -0.596693254782609 -0.598149862391304 -0.504117187130435 -0.610009328695652 -0.600958028913044 -0.416730232506522 -0.624911446521739 -0.686534998478261 -0.784827388043478 -0.584242647391304 -0.758248904782609 -0.776913536956522 -0.566697883043478 -0.589953723043478 -0.719559864347826 -0.538176105434783 -0.526780039891304 -0.748641486956522 -0.742182070217391 -0.807232266086957 -0.807164063043478
